ticket-id,issue,category,expected_resolution
TKT-022,Karyawan meminta instalasi Microsoft Visio untuk kebutuhan pembuatan diagram alur proses,Software,Arahkan karyawan buat tiket permohonan software di ITSM dengan lampiran persetujuan Manajer Departemen; biaya lisensi akan di-charge-back ke cost-center departemen
TKT-023,Tim project management meminta akses Microsoft Project untuk perencanaan proyek Q3,Software,Arahkan buat tiket permohonan software di ITSM; ingatkan bahwa biaya lisensi dibebankan ke cost-center departemen bukan anggaran IT
TKT-024,Karyawan mengeluh tidak bisa mengakses email di Outlook karena akun Microsoft 365 diblokir,Software,Verifikasi status akun di Microsoft 365 Admin Center; jika akun diblokir karena policy eskalasi ke tim IT Security
TKT-025,Karyawan meminta bantuan untuk memesan ruang rapat beserta konsumsi untuk meeting besok,Other,Layanan ini bukan ranah IT; arahkan karyawan ke sistem Acme Facility Booking atau hubungi General Affairs di ekstensi 101
TKT-026,Proyektor di ruang rapat lantai 3 tidak berfungsi dan karyawan meminta IT untuk memperbaiki,Other,Ketersediaan proyektor di ruang rapat bukan tanggung jawab IT; arahkan ke General Affairs di ekstensi 101
TKT-027,ID Card karyawan hilang dan tidak bisa masuk gedung kantor,Other,Ini bukan ranah IT; arahkan karyawan untuk melapor ke HR dan Security Gedung di lantai 1 untuk pencetakan ulang kartu; IT hanya sinkronisasi data setelah kartu baru diterbitkan
TKT-028,ID Card karyawan rusak dan chip akses tidak terbaca oleh pintu,Other,Arahkan karyawan ke HR untuk proses administrasi dan Security Gedung lantai 1 untuk penggantian fisik kartu; IT akan melakukan sinkronisasi HRIS ke door access setelah kartu baru tersedia
TKT-029,Karyawan tidak bisa login laptop sama sekali setelah update Windows terbaru,Access,Coba boot ke Safe Mode untuk diagnosa; jika gagal koordinasikan dengan tim desktop support untuk reimaging atau rollback update
TKT-030,Karyawan baru belum menerima akses VPN meski sudah onboarding 3 hari yang lalu,Network,Verifikasi apakah akun Active Directory sudah aktif dan terdaftar di grup GlobalProtect; jika belum koordinasikan dengan tim IAM untuk provisioning akses VPN
TKT-031,Akun Windows domain karyawan terkunci setelah lisensi belum di-assign,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-032,Karyawan tidak bisa akses sistem HRIS karena mutasi jabatan,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-033,Login SharePoint ditolak meskipun group policy berubah,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-034,Karyawan tidak bisa login SharePoint karena sesi terkunci otomatis,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-035,Login database aplikasi ditolak meskipun lupa password,Access,Verifikasi dan perbarui tanggal expired akun di AD; koordinasikan dengan HR untuk data kontrak terbaru
TKT-036,Karyawan tidak bisa akses sistem manajemen dokumen karena akun dinonaktifkan otomatis karena tidak aktif 90 hari,Access,Reset password via AD dan informasikan via telepon atau secure channel ke karyawan
TKT-037,Karyawan tidak bisa akses sistem absensi karena lisensi belum di-assign,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-038,Token MFA tidak berfungsi setelah group policy berubah,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-039,Akun karyawan diblokir di sistem HRIS akibat sesi terkunci otomatis,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-040,Akun SharePoint karyawan terkunci setelah belum onboarding resmi,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-041,Karyawan baru belum mendapat akses ke portal training setelah lisensi belum di-assign,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-042,Hak akses karyawan ke sistem pengadaan perlu diperbarui karena mutasi jabatan,Access,Reset password via AD dan informasikan via telepon atau secure channel ke karyawan
TKT-043,Akun sistem pengadaan karyawan terkunci setelah akun belum aktif,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-044,Karyawan tidak bisa akses portal training dari perangkat baru karena sesi terkunci otomatis,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-045,Akun Office 365 karyawan terkunci setelah terlalu banyak percobaan login gagal,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-046,Akun jaringan Wi-Fi karyawan terkunci setelah mutasi jabatan,Access,Reset password via AD dan informasikan via telepon atau secure channel ke karyawan
TKT-047,Akun karyawan diblokir di sistem absensi akibat nama akun berubah setelah menikah,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-048,Karyawan baru belum mendapat akses ke portal training setelah sesi terkunci otomatis,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-049,Akun karyawan diblokir di sistem manajemen dokumen akibat perangkat baru belum terdaftar,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-050,Token MFA tidak berfungsi setelah terlalu banyak percobaan login gagal,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-051,Hak akses karyawan ke dashboard analytics perlu diperbarui karena lisensi belum di-assign,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-052,Login jaringan Wi-Fi ditolak meskipun nomor HP belum terdaftar di MFA,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-053,Karyawan tidak bisa akses Office 365 karena nomor HP belum terdaftar di MFA,Access,Reset password via AD dan informasikan via telepon atau secure channel ke karyawan
TKT-054,Akun karyawan diblokir di SharePoint akibat sesi terkunci otomatis,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-055,Karyawan baru belum mendapat akses ke aplikasi CRM setelah sertifikat expired,Access,Reset password via AD dan informasikan via telepon atau secure channel ke karyawan
TKT-056,Hak akses karyawan ke sistem HRIS perlu diperbarui karena lisensi belum di-assign,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-057,Karyawan tidak bisa akses sistem pengadaan karena akun dinonaktifkan otomatis karena tidak aktif 90 hari,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-058,Karyawan tidak bisa akses aplikasi mobile dari perangkat baru karena belum onboarding resmi,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-059,Karyawan tidak bisa akses sistem HRIS karena password tidak memenuhi policy baru,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-060,Akun Office 365 karyawan terkunci setelah mutasi jabatan,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-061,Token MFA tidak berfungsi setelah group policy berubah,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-062,Akun dashboard analytics karyawan terkunci setelah belum onboarding resmi,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-063,Hak akses karyawan ke portal vendor perlu diperbarui karena lisensi belum di-assign,Access,Verifikasi dan perbarui tanggal expired akun di AD; koordinasikan dengan HR untuk data kontrak terbaru
TKT-064,Karyawan tidak bisa login portal e-learning karena mutasi jabatan,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-065,Login VPN GlobalProtect ditolak meskipun nomor HP belum terdaftar di MFA,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-066,Akun karyawan diblokir di aplikasi mobile akibat belum di-provisioning,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-067,Karyawan tidak bisa login VPN GlobalProtect karena password tidak memenuhi policy baru,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-068,Login portal ITSM ditolak meskipun akun belum aktif,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-069,Login database aplikasi ditolak meskipun sesi terkunci otomatis,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-070,Karyawan baru belum mendapat akses ke portal HR setelah akun dinonaktifkan otomatis karena tidak aktif 90 hari,Access,Verifikasi dan perbarui tanggal expired akun di AD; koordinasikan dengan HR untuk data kontrak terbaru
TKT-071,Karyawan tidak bisa login database aplikasi karena nomor HP belum terdaftar di MFA,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-072,Karyawan tidak bisa login portal ITSM karena nama akun berubah setelah menikah,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-073,Karyawan tidak bisa akses Office 365 karena terlalu banyak percobaan login gagal,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-074,Akun SharePoint karyawan terkunci setelah sertifikat expired,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-075,Login sistem HRIS ditolak meskipun perubahan kebijakan keamanan,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-076,Hak akses karyawan ke sistem pengadaan perlu diperbarui karena belum di-provisioning,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-077,Login database aplikasi ditolak meskipun group policy berubah,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-078,Login sistem manajemen dokumen ditolak meskipun sesi terkunci otomatis,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-079,Akun karyawan diblokir di dashboard analytics akibat nama akun berubah setelah menikah,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-080,Login sistem absensi ditolak meskipun mutasi jabatan,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-081,Karyawan tidak bisa akses SharePoint karena nomor HP belum terdaftar di MFA,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-082,Karyawan tidak bisa akses sistem pengadaan dari perangkat baru karena terlalu banyak percobaan login gagal,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-083,Karyawan tidak bisa akses Windows domain karena perangkat baru belum terdaftar,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-084,Karyawan tidak bisa login jaringan Wi-Fi karena perangkat baru belum terdaftar,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-085,Karyawan baru belum mendapat akses ke SharePoint setelah password tidak memenuhi policy baru,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-086,Akun karyawan diblokir di portal e-learning akibat sertifikat expired,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-087,Login sistem HRIS ditolak meskipun sertifikat expired,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-088,Hak akses karyawan ke aplikasi mobile perlu diperbarui karena sesi terkunci otomatis,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-089,Akun portal e-learning karyawan terkunci setelah group policy berubah,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-090,Reset password aplikasi mobile gagal karena koneksi internet tidak stabil,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-091,Karyawan tidak bisa login portal e-learning karena mutasi jabatan,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-092,Reset password sistem ERP gagal karena mutasi jabatan,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-093,Karyawan tidak bisa akses aplikasi CRM karena akun dinonaktifkan otomatis karena tidak aktif 90 hari,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-094,Token MFA tidak berfungsi setelah belum di-provisioning,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-095,Hak akses karyawan ke jaringan Wi-Fi perlu diperbarui karena perangkat baru belum terdaftar,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-096,Login portal ITSM ditolak meskipun akun expired,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-097,Login Windows domain ditolak meskipun perangkat baru belum terdaftar,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-098,Token MFA tidak berfungsi setelah sertifikat expired,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-099,Karyawan tidak bisa akses dashboard analytics karena akun expired,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-100,Reset password Windows domain gagal karena belum onboarding resmi,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-101,Hak akses karyawan ke Teams perlu diperbarui karena group policy berubah,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-102,Login portal e-learning ditolak meskipun sertifikat expired,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-103,Karyawan tidak bisa akses Teams karena sesi terkunci otomatis,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-104,Karyawan tidak bisa akses sistem pengadaan dari perangkat baru karena akun expired,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-105,Karyawan baru belum mendapat akses ke Office 365 setelah akun expired,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-106,Hak akses karyawan ke portal vendor perlu diperbarui karena password tidak memenuhi policy baru,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-107,Karyawan tidak bisa login portal vendor karena perangkat baru belum terdaftar,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-108,Akun database aplikasi karyawan terkunci setelah perangkat baru belum terdaftar,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-109,Karyawan tidak bisa akses dashboard analytics karena mutasi jabatan,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-110,Karyawan tidak bisa akses repository kode karena akun expired,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-111,Akun aplikasi mobile karyawan terkunci setelah password tidak memenuhi policy baru,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-112,Akun karyawan diblokir di aplikasi CRM akibat nomor HP belum terdaftar di MFA,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-113,Akun karyawan diblokir di dashboard analytics akibat perubahan kebijakan keamanan,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-114,Akun karyawan diblokir di sistem absensi akibat nomor HP belum terdaftar di MFA,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-115,Karyawan tidak bisa login sistem absensi karena mutasi jabatan,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-116,Login aplikasi CRM ditolak meskipun password tidak memenuhi policy baru,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-117,Token MFA tidak berfungsi setelah perangkat baru belum terdaftar,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-118,Karyawan baru belum mendapat akses ke Teams setelah belum di-provisioning,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-119,Login sistem manajemen dokumen ditolak meskipun akun belum aktif,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-120,Login Windows domain ditolak meskipun akun dinonaktifkan otomatis karena tidak aktif 90 hari,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-121,Akun sistem HRIS karyawan terkunci setelah lisensi belum di-assign,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-122,Akun sistem pengadaan karyawan terkunci setelah perubahan kebijakan keamanan,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-123,Akun karyawan diblokir di database aplikasi akibat sesi terkunci otomatis,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-124,Karyawan baru belum mendapat akses ke aplikasi CRM setelah lisensi belum di-assign,Access,Verifikasi dan perbarui tanggal expired akun di AD; koordinasikan dengan HR untuk data kontrak terbaru
TKT-125,Hak akses karyawan ke VPN GlobalProtect perlu diperbarui karena akun expired,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-126,Reset password VPN GlobalProtect gagal karena akun expired,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-127,Karyawan baru belum mendapat akses ke sistem HRIS setelah lisensi belum di-assign,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-128,Hak akses karyawan ke sistem pengadaan perlu diperbarui karena group policy berubah,Access,Verifikasi dan perbarui tanggal expired akun di AD; koordinasikan dengan HR untuk data kontrak terbaru
TKT-129,Karyawan tidak bisa login portal ITSM karena perangkat baru belum terdaftar,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-130,Token MFA tidak berfungsi setelah akun expired,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-131,Karyawan tidak bisa akses sistem pengadaan dari perangkat baru karena perubahan kebijakan keamanan,Access,Reset password via AD dan informasikan via telepon atau secure channel ke karyawan
TKT-132,Token MFA tidak berfungsi setelah akun belum aktif,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-133,Karyawan tidak bisa login portal training karena sesi terkunci otomatis,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-134,Karyawan tidak bisa akses portal e-learning karena mutasi jabatan,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-135,Login aplikasi mobile ditolak meskipun perubahan kebijakan keamanan,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-136,Token MFA tidak berfungsi setelah group policy berubah,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-137,Token MFA tidak berfungsi setelah group policy berubah,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-138,Karyawan tidak bisa akses VPN GlobalProtect karena belum di-provisioning,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-139,Akun dashboard analytics karyawan terkunci setelah akun expired,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-140,Karyawan tidak bisa akses aplikasi CRM karena koneksi internet tidak stabil,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-141,Akun karyawan diblokir di jaringan Wi-Fi akibat terlalu banyak percobaan login gagal,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-142,Karyawan tidak bisa akses dashboard analytics karena nomor HP belum terdaftar di MFA,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-143,Akun VPN GlobalProtect karyawan terkunci setelah nama akun berubah setelah menikah,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-144,Login dashboard analytics ditolak meskipun akun dinonaktifkan otomatis karena tidak aktif 90 hari,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-145,Karyawan tidak bisa login portal ITSM karena lisensi belum di-assign,Access,Revoke token MFA yang lama; daftarkan ulang Microsoft Authenticator setelah verifikasi identitas
TKT-146,Karyawan tidak bisa akses VPN GlobalProtect dari perangkat baru karena akun expired,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-147,Karyawan tidak bisa akses aplikasi mobile dari perangkat baru karena nama akun berubah setelah menikah,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-148,Karyawan baru belum mendapat akses ke aplikasi mobile setelah password tidak memenuhi policy baru,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
TKT-149,Reset password repository kode gagal karena sesi terkunci otomatis,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-150,Karyawan tidak bisa login sistem manajemen dokumen karena group policy berubah,Access,Arahkan ke self-service portal untuk reset mandiri; jika gagal verifikasi identitas dan reset manual via AD
TKT-151,Login sistem pengadaan ditolak meskipun sesi terkunci otomatis,Access,Koordinasikan dengan tim IAM untuk provisioning akses; proses dalam 1 hari kerja
TKT-152,Reset password SharePoint gagal karena nomor HP belum terdaftar di MFA,Access,Eskalasi ke tim IT Security jika ada indikasi kompromi akun; investigasi log akses sebelum re-aktifasi
TKT-153,Karyawan baru belum mendapat akses ke portal e-learning setelah mutasi jabatan,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-154,Akun karyawan diblokir di portal vendor akibat akun belum aktif,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-155,Reset password sistem ERP gagal karena belum onboarding resmi,Access,Update nomor HP dan email alternatif di profil Microsoft 365 untuk pemulihan akun
TKT-156,Akun karyawan diblokir di sistem pengadaan akibat perubahan kebijakan keamanan,Access,Periksa status akun di AD dan Azure AD; assign lisensi yang sesuai jika belum ada
TKT-157,Reset password portal e-learning gagal karena belum onboarding resmi,Access,Buat tiket ke tim IAM dengan approval atasan untuk provisioning akses ke sistem yang diperlukan
TKT-158,Token MFA tidak berfungsi setelah akun belum aktif,Access,Reset password via AD dan informasikan via telepon atau secure channel ke karyawan
TKT-159,Login Windows domain ditolak meskipun akun belum aktif,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-160,Karyawan tidak bisa akses aplikasi mobile karena nomor HP belum terdaftar di MFA,Access,Daftarkan perangkat baru ke MDM; install sertifikat yang diperlukan untuk akses jaringan
TKT-161,Hak akses karyawan ke sistem absensi perlu diperbarui karena sesi terkunci otomatis,Access,Verifikasi dan perbarui tanggal expired akun di AD; koordinasikan dengan HR untuk data kontrak terbaru
TKT-162,Hak akses karyawan ke portal HR perlu diperbarui karena perangkat baru belum terdaftar,Access,Update group membership AD sesuai jabatan atau departemen baru; verifikasi dengan atasan
TKT-163,Login portal e-learning ditolak meskipun nomor HP belum terdaftar di MFA,Access,Verifikasi NIK karyawan dan status di HRIS; lakukan unlock akun via Active Directory
